skill	L0	T	G	S	value
b22s	0.8105325014413236	0.999	0.49998332606362156	0.047618624841448055	5.371429042408546
b2pv3	0.3332004274644125	0.11915761060593597	0.06878355054777947	0.16172143715101972	16.979636038579287
b2v2	0.6085356705612909	0.29445563244205253	0.4999999997509857	0.001	7.244954673534839
b32s	0.9613256369059612	0.999	0.4999253991823097	0.08054931082645755	202.23046444514677
b3p	0.7017259214986679	0.03357551007174585	0.49999999999678324	0.15863614914082838	412.84088710051003
b3pv3	0.788334793332849	0.029964075028330633	0.4999999999740076	0.11641180248034268	367.56435986390056
b3pv4	0.8075371913854801	0.014242912224254377	0.4339058688360531	0.1239160367846014	300.6559919850381
b3v2	0.718839956645825	0.061465887008118135	0.4999999999562549	0.06728336878311371	184.4560755734638
b42s	0.7209173656933293	0.06463316111551838	0.4999999999874986	0.07782265097003357	150.93261171768947
b4p	0.9221555179388694	0.5171597159131827	0.001	0.10353021508936086	155.89919015624838
b4pv3	0.6891992797410785	0.08949099648047015	0.4999999999815058	0.10117211555137656	197.9618875582927
b4pv4	0.5724795413069336	0.024054100341917076	0.499999999943945	0.14584932827900302	309.8361751086772
b4v2	0.8852006376100475	0.5410617481773606	0.4999999985566883	0.07053036184177153	99.14639288493258
i22s	0.7473820296152672	0.04395122892735814	0.4999999998953932	0.06825433424369932	258.9755084164197
i2p	0.561168103430727	0.042485891117473494	0.4999999999997346	0.0845124297166775	336.4570813797925
i2pv3	0.303921939885452	0.5746250576266384	0.3515790624487401	0.20762599878908794	427.0204419699256
i2pv4	0.6388204837834984	0.019367980291922035	0.49999999989612265	0.1432341260890239	498.4005988721214
i2v2	0.8866747424271897	0.6945010140556915	0.008675488664101687	0.11919406823217017	389.19012042872566
i3p	0.6494430640368645	0.561884545255353	0.04491823938864867	0.001	18.319104713364535
i3pv3	0.57241417652134	0.001	0.49999999837283216	0.001	9.66502380838286
i3pv4	0.717541265823038	0.5438337561290686	0.08075463906335213	0.060720041084166704	12.95258572835578
i3v2	0.9332663632865873	0.24986328995963222	0.001	0.001	6.6168409105967525
